DexNum,Name,Type1,Type2,Ability1,Ability2,Ability3,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35
1,bulbasaur,grass,poison,overgrow,chlorophyll,---,45,49,49,65,65,45,"['1', 'tackle']","['1', 'growl']","['3', 'vine-whip']","['6', 'growth']","['9', 'leech-seed']","['12', 'razor-leaf']","['15', 'poison-powder']","['15', 'sleep-powder']","['18', 'seed-bomb']","['21', 'take-down']","['24', 'sweet-scent']","['27', 'synthesis']","['30', 'worry-seed']","['33', 'power-whip']","['36', 'solar-beam']",,,,,,,,,,,,,,,,,,,,
2,ivysaur,grass,poison,overgrow,chlorophyll,---,60,62,63,80,80,60,"['1', 'vine-whip']","['1', 'tackle']","['1', 'growl']","['1', 'growth']","['9', 'leech-seed']","['12', 'razor-leaf']","['15', 'poison-powder']","['15', 'sleep-powder']","['20', 'seed-bomb']","['25', 'take-down']","['30', 'sweet-scent']","['35', 'synthesis']","['40', 'worry-seed']","['45', 'power-whip']","['50', 'solar-beam']",,,,,,,,,,,,,,,,,,,,
3,venusaur,grass,poison,overgrow,chlorophyll,---,80,82,83,100,100,80,"['0', 'petal-blizzard']","['1', 'vine-whip']","['1', 'tackle']","['1', 'growl']","['1', 'growth']","['1', 'petal-dance']","['9', 'leech-seed']","['12', 'razor-leaf']","['15', 'poison-powder']","['15', 'sleep-powder']","['20', 'seed-bomb']","['25', 'take-down']","['30', 'sweet-scent']","['37', 'synthesis']","['44', 'worry-seed']","['51', 'power-whip']","['58', 'solar-beam']",,,,,,,,,,,,,,,,,,
4,charmander,fire,---,blaze,solar-power,---,39,52,43,60,50,65,"['1', 'scratch']","['1', 'growl']","['4', 'ember']","['8', 'smokescreen']","['12', 'dragon-breath']","['17', 'fire-fang']","['20', 'slash']","['24', 'flamethrower']","['28', 'scary-face']","['32', 'fire-spin']","['36', 'inferno']","['40', 'flare-blitz']",,,,,,,,,,,,,,,,,,,,,,,
5,charmeleon,fire,---,blaze,solar-power,---,58,64,58,80,65,80,"['1', 'scratch']","['1', 'growl']","['1', 'ember']","['1', 'smokescreen']","['12', 'dragon-breath']","['19', 'fire-fang']","['24', 'slash']","['30', 'flamethrower']","['37', 'scary-face']","['48', 'inferno']","['54', 'flare-blitz']",,,,,,,,,,,,,,,,,,,,,,,,
6,charizard,fire,flying,blaze,solar-power,---,78,84,78,109,85,100,"['0', 'air-slash']","['1', 'scratch']","['1', 'growl']","['1', 'ember']","['1', 'smokescreen']","['1', 'heat-wave']","['1', 'dragon-claw']","['12', 'dragon-breath']","['19', 'fire-fang']","['24', 'slash']","['30', 'flamethrower']","['39', 'scary-face']","['46', 'fire-spin']","['54', 'inferno']","['62', 'flare-blitz']",,,,,,,,,,,,,,,,,,,,
7,squirtle,water,---,torrent,rain-dish,---,44,48,65,50,64,43,"['1', 'tackle']","['1', 'tail-whip']","['3', 'water-gun']","['6', 'withdraw']","['9', 'rapid-spin']","['12', 'bite']","['15', 'water-pulse']","['18', 'protect']","['21', 'rain-dance']","['24', 'aqua-tail']","['27', 'shell-smash']","['30', 'iron-defense']","['33', 'hydro-pump']","['36', 'wave-crash']",,,,,,,,,,,,,,,,,,,,,
8,wartortle,water,---,torrent,rain-dish,---,59,63,80,65,80,58,"['1', 'tackle']","['1', 'tail-whip']","['1', 'water-gun']","['1', 'withdraw']","['9', 'rapid-spin']","['12', 'bite']","['15', 'water-pulse']","['20', 'protect']","['25', 'rain-dance']","['30', 'aqua-tail']","['35', 'shell-smash']","['40', 'iron-defense']","['45', 'hydro-pump']","['50', 'wave-crash']",,,,,,,,,,,,,,,,,,,,,
9,blastoise,water,---,torrent,rain-dish,---,79,83,100,85,105,78,"['0', 'flash-cannon']","['1', 'tackle']","['1', 'tail-whip']","['1', 'water-gun']","['1', 'withdraw']","['9', 'rapid-spin']","['12', 'bite']","['15', 'water-pulse']","['20', 'protect']","['25', 'rain-dance']","['30', 'aqua-tail']","['35', 'shell-smash']","['42', 'iron-defense']","['49', 'hydro-pump']","['56', 'wave-crash']",,,,,,,,,,,,,,,,,,,,
10,caterpie,bug,---,shield-dust,run-away,---,45,30,35,20,20,45,"['1', 'tackle']","['1', 'string-shot']","['9', 'bug-bite']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
